Sample,Time/Date,Units,Reading,Lat,Lon,DOP,# Sat
0001,12:32:38 08/17/2023, CCI, 12.8,46 55.58845N,017 40.94393E,1.6,06
0002,12:32:42 08/17/2023, CCI, 12.8,46 55.58928N,017 40.94300E,1.6,06
0003,12:32:50 08/17/2023, CCI, 12.8,46 55.59035N,017 40.94208E,1.8,05
0004,12:32:54 08/17/2023, CCI, 14.0,46 55.59149N,017 40.94184E,1.6,06
0005,12:32:58 08/17/2023, CCI, 11.1,46 55.59246N,017 40.94030E,1.6,06
0006,12:33:03 08/17/2023, CCI, 11.5,46 55.59429N,017 40.93824E,1.6,06
0007,12:33:12 08/17/2023, CCI, 12.4,46 55.59501N,017 40.93628E,1.6,06
0008,12:33:23 08/17/2023, CCI, 10.1,46 55.59380N,017 40.93687E,1.6,05
0009,12:33:28 08/17/2023, CCI,  9.8,46 55.59401N,017 40.93678E,1.6,05
0010,12:33:32 08/17/2023, CCI, 13.5,46 55.59348N,017 40.93776E,1.6,05
0011,12:33:37 08/17/2023, CCI, 12.6,46 55.59332N,017 40.93790E,1.6,05
0012,12:33:40 08/17/2023, CCI, 13.8,46 55.59165N,017 40.93854E,1.6,05
0013,12:33:44 08/17/2023, CCI, 15.7,46 55.59180N,017 40.93864E,1.6,05
0014,12:33:49 08/17/2023, CCI, 12.3,46 55.59175N,017 40.93982E,1.6,05
0015,12:33:53 08/17/2023, CCI, 16.4,46 55.59222N,017 40.93946E,1.6,05
0016,12:33:57 08/17/2023, CCI, 15.2,46 55.59260N,017 40.93893E,1.6,05
0017,12:34:01 08/17/2023, CCI, 15.0,46 55.59269N,017 40.93847E,1.6,05
0018,12:34:06 08/17/2023, CCI, 12.8,46 55.59303N,017 40.93919E,1.6,05
0019,12:34:10 08/17/2023, CCI, 11.4,46 55.59317N,017 40.93909E,1.6,05
0020,12:34:13 08/17/2023, CCI, 10.8,46 55.59251N,017 40.93917E,1.1,07
Sample,Time/Date,Units,Reading,Lat,Lon,DOP,# Sat
0001,12:35:12 08/17/2023, CCI, 13.0,46 55.57755N,017 40.95202E,0.8,11
0002,12:35:16 08/17/2023, CCI, 10.0,46 55.57755N,017 40.95165E,0.9,10
0003,12:35:19 08/17/2023, CCI,  9.0,46 55.57776N,017 40.95200E,0.8,11
0004,12:35:25 08/17/2023, CCI, 11.0,46 55.57785N,017 40.95309E,0.8,11
0005,12:35:32 08/17/2023, CCI, 15.6,46 55.57755N,017 40.95217E,0.9,10
0006,12:35:42 08/17/2023, CCI, 16.4,46 55.57760N,017 40.95225E,1.0,09
0007,12:35:46 08/17/2023, CCI, 15.1,46 55.57791N,017 40.95266E,0.8,10
0008,12:35:53 08/17/2023, CCI, 13.7,46 55.57826N,017 40.95261E,0.8,11
0009,12:35:58 08/17/2023, CCI, 11.7,46 55.57793N,017 40.95176E,0.8,11
0010,12:36:05 08/17/2023, CCI, 14.0,46 55.57773N,017 40.95160E,0.8,11
0011,12:36:16 08/17/2023, CCI, 14.4,46 55.57728N,017 40.95091E,0.8,09
0012,12:36:21 08/17/2023, CCI, 15.6,46 55.57659N,017 40.95044E,0.7,12
0013,12:36:27 08/17/2023, CCI, 12.9,46 55.57661N,017 40.95033E,0.7,12
0014,12:36:32 08/17/2023, CCI, 11.4,46 55.57669N,017 40.95086E,0.7,12
0015,12:36:41 08/17/2023, CCI, 15.1,46 55.57687N,017 40.95049E,0.7,12
0016,12:36:44 08/17/2023, CCI,  9.0,46 55.57610N,017 40.95038E,0.7,12
0017,12:36:49 08/17/2023, CCI, 10.9,46 55.57608N,017 40.95046E,0.7,12
0018,12:36:53 08/17/2023, CCI, 10.9,46 55.57612N,017 40.95005E,0.7,12
0019,12:36:56 08/17/2023, CCI, 12.6,46 55.57607N,017 40.94990E,0.7,12
0020,12:37:00 08/17/2023, CCI,  9.6,46 55.57638N,017 40.94917E,0.7,12
